profile_id,time,motor_speed,ambient,stator_yoke,torque
6,0.0,0.0409300923347473,23.192779541015625,18.210649490356445,41.48087310791016
6,0.5,0.030431006103754,23.216487884521484,18.22454833984375,43.11655426025391
6,1.0,0.0257177334278821,23.23270606994629,18.220382690429688,44.2083740234375
6,1.5,0.021912844851613,23.245405197143555,18.19486427307129,45.05292510986328
6,2.0,0.0127195352688431,23.252382278442383,18.17913627624512,45.58700942993164
6,2.5,0.0056233834475278,23.261903762817383,18.19384765625,46.01987075805664
6,3.0,0.0089758671820163,23.27365493774414,18.173885345458984,46.30514907836914
6,3.5,-0.0022411625832319,23.27625274658203,18.182735443115234,46.50591659545898
6,4.0,11.487648010253906,23.27842330932617,18.19642448425293,45.86213302612305
6,4.5,110.58859252929688,23.28105735778809,18.177927017211918,44.27946853637695
6,5.0,287.98150634765625,23.28167152404785,18.1906681060791,43.17465591430664
6,5.5,521.4348754882812,23.28643798828125,18.196765899658203,42.40655899047852
6,6.0,795.0364379882812,23.29826164245605,18.185226440429688,41.83974075317383
6,6.5,1097.3997802734375,23.314186096191406,18.18629646301269,41.418399810791016
6,7.0,1420.37109375,23.338790893554688,18.193153381347656,40.89776611328125
6,7.5,1757.96533203125,23.36247444152832,18.19189071655273,38.68241882324219
6,8.0,2106.472412109375,23.38060569763184,18.202470779418945,35.57898712158203
6,8.5,2462.3701171875,23.395755767822266,18.20856094360352,36.519996643066406
6,9.0,2823.703369140625,23.410009384155277,18.213363647460938,37.22820663452149
6,9.5,3188.9267578125,23.4219913482666,18.2207088470459,37.64607238769531
6,10.0,3556.941650390625,23.427339553833008,18.234169006347656,37.80000305175781
6,10.5,3926.093505859375,23.44264030456543,18.24381446838379,38.01585006713867
6,11.0,4230.58740234375,23.466482162475582,18.25072479248047,40.92727279663086
6,11.5,4448.734375,23.49457359313965,18.25567626953125,43.055511474609375
6,12.0,4605.005859375,23.537384033203125,18.259225845336918,44.59439849853516
6,12.5,4716.9775390625,23.576892852783203,18.261987686157227,45.644187927246094
6,13.0,4797.19091796875,23.602998733520508,18.261638641357425,46.43644714355469
6,13.5,4854.66650390625,23.6104736328125,18.253808975219727,46.973411560058594
6,14.0,4895.8466796875,23.611555099487305,18.25788688659668,47.406768798828125
6,14.5,4925.35009765625,23.6057186126709,18.258394241333008,47.693355560302734
6,15.0,4946.4951171875,23.590784072875977,18.252975463867188,47.89615249633789
6,15.5,4961.64599609375,23.581117630004883,18.25728988647461,48.02732849121094
6,16.0,4972.50390625,23.569334030151367,18.26037979125977,48.10137176513672
6,16.5,4980.279296875,23.563438415527344,18.262596130371094,48.14746475219727
6,17.0,4985.87255859375,23.56372833251953,18.264841079711918,48.14965057373047
6,17.5,4989.85009765625,23.55535888671875,18.268245697021484,48.15158462524414
6,18.0,4992.70166015625,23.530460357666016,18.26897621154785,48.23674774169922
6,18.5,4994.7568359375,23.50166130065918,18.27073097229004,48.29298400878906
6,19.0,4996.22900390625,23.48222923278809,18.27759552001953,48.28683471679688
6,19.5,4997.28564453125,23.46895408630371,18.278789520263672,48.32170486450195
